feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,TF.name,auc_TF_expr,combined_auc
MA0601.1,Mesothelial,0.861534961343333,0.946732092338754,9140184,0.730076968052986,2.66511971434004e-146,9.12008856375079e-146,100,100,Arid3b,0.501697834095346,0.36627803359508
MA1559.1,Mesothelial,1.09866531478372,1.42335875903669,9163432,0.731933914188129,1.22282849653901e-148,4.26275728232756e-148,100,100,SNAI3,0.50036870540949,0.366236825087615
MA1481.1,Mesothelial,0.901480886377805,0.986573453296478,9164828,0.732045420416822,8.83802758093256e-149,3.09538430768812e-148,100,100,DRGX,0.500247853744724,0.36620415040717
MA0628.1,Mesothelial,0.749015069777213,0.792813488381234,8643716,0.690421327403375,7.74900853716871e-101,1.89533126843536e-100,100,100,POU6F1,0.530146819196964,0.366024670628644
MA1616.1,Endocardial,1.08738446634616,1.07808369229264,7241202,0.719885545268513,6.84435045511165e-108,5.10588543951329e-107,100,100,Prdm15,0.50824967212867,0.365881592352891
MA0506.1,Adipo,0.675495600487151,0.696640525305003,989104,0.688951809788495,7.87668125748607e-13,6.65590256287425e-12,100,100,NRF1,0.530356315714321,0.36538994354414
MA1616.1,Mesothelial,1.06145774756861,1.07407696139891,9020227,0.720495340062047,1.56140685133264e-134,4.8132624425378e-134,100,100,Prdm15,0.506956718649656,0.365259953400224
MA0131.2,Adipo,0.755353620602162,0.754232715077115,989062,0.688922555052885,7.94068804417974e-13,6.65590256287425e-12,100,100,HINFP,0.530077699184698,0.365182482898877
MA0832.1,Adipo,0.898379226026695,0.898670618745808,918784,0.639971023880919,1.11818936319429e-07,4.39036455233125e-07,100,100,Tcf21,0.570609787102144,0.365173729688233
MA0508.3,Adipo,1.37856441869254,1.27585183009678,1005459,0.700343743143421,3.07411182526941e-14,3.09903705628511e-13,100,100,PRDM1,0.521409938948153,0.365166188355132
MA0056.2,FB,0.847028799494707,1.05431847197381,19467673.5,0.759530318518056,0,0,100,100,MZF1,0.480509457224008,0.364961501096289
MA0744.2,CM,0.610149022269342,0.935706296087667,19891646.5,0.72999779844429,0,0,100,100,SCRT2,0.499772266145075,0.364832654009419
MA1646.1,FB,0.570512770955512,0.7504513826349,17834694,0.695819704110615,5.66445413763092e-216,1.98388863224069e-215,100,100,OSR2,0.524089215487375,0.36467160284799
MA0164.1,FB,0.806596875423025,1.01576208957819,18882712,0.736708074534162,0,0,100,100,Nr2e3,0.494983243078748,0.364658151935219
MA0864.2,Lymphoid,1.01972434189448,0.957291352733519,1739844,0.730913875501603,1.80101353259299e-29,1.31721185815134e-28,100,100,E2F2,0.498769517990496,0.3645575613765
MA0144.2,FB,1.80987795941101,2.10999794843209,20244988,0.789857205281064,0,0,100,100,STAT3,0.461388015387496,0.364430648384144
MA1476.1,Mesothelial,0.840113450185386,0.943432553322986,9123435,0.728739132935234,1.25535044939805e-144,4.23751780656538e-144,100,100,DLX5,0.499986501036784,0.364359729244868
MA0851.1,Endocardial,1.41663360246244,1.43137930839736,7907380,0.786113764392339,2.78467181590075e-181,5.19341293665489e-180,100,100,Foxj3,0.463088030966642,0.364039875268223
MA1419.1,Adipo,1.55692515170387,1.28882757869955,971943,0.67699846412638,1.94458594735664e-11,1.28377089975934e-10,100,100,IRF4,0.537580494056761,0.363941168820728
MA0731.1,Adipo,1.10679182806941,1.04390576197335,1010675,0.703976902689694,1.05127048795257e-14,1.12035397716089e-13,100,100,BCL6B,0.516930481693153,0.363907119408237
MA1505.1,Mesothelial,0.868202684642077,0.94600209605779,9103972,0.72718451565081,1.07323285068572e-142,3.59027671126253e-142,100,100,HOXC8,0.500201725630777,0.363738949580516
MA0040.1,Endocardial,1.0584894768584,1.06770537631173,7318995.5,0.727619401631841,1.78912313283532e-115,1.55196029894785e-114,100,100,Foxq1,0.499864596497563,0.363711178600498
MA0659.2,Mesothelial,0.907288400486519,0.949844949677992,8969895,0.716475045289421,9.6052321574989e-130,2.82106424783235e-129,100,100,MAFG,0.507521877905472,0.363626760457695
MA0855.1,PC,1.14641563361128,1.17448503497785,6187896,0.78430919235202,7.3631991671349e-141,2.4967938994012e-139,100,100,RXRB,0.463585032624541,0.363594002524239
MA0653.1,Adipo,1.60911161270238,1.30517818586225,954647,0.664951085385518,4.01612568370722e-10,2.22793222211446e-09,100,100,IRF9,0.546763346602446,0.363570880772314
MA0841.1,FB,1.26835418687821,1.60952312320672,18774053,0.732468749024626,1.66762436122037e-303,7.9746652145538e-303,100,100,NFE2,0.496358695652174,0.363567232871843
MA0878.2,FB,0.697981314228345,0.923127767707826,18615734,0.726291941071819,1.05292989268969e-287,4.9092856246657e-287,100,100,CDX1,0.50044617497425,0.363470023824015
MA0914.1,CM,0.577529269507176,0.879243348848536,19812837,0.727105591331295,6.52236092496961e-308,1.53008844340482e-307,100,100,ISL2,0.49983215844243,0.363430757130681
MA0898.1,Mesothelial,0.845889196897177,0.930060878759967,9091706,0.726204762498123,1.74377190331924e-141,5.70549929770243e-141,100,100,Hmx3,0.500293981858671,0.363315872274917
MA0852.2,Endocardial,0.92654984217392,0.945523853767178,7197830,0.715573709212926,8.90322865892367e-104,6.26585715052553e-103,100,100,FOXK1,0.507506096140066,0.363158019663119
MA1522.1,FB,0.761254113114615,0.869039915258327,18963822,0.739872577171572,0,0,100,100,MAZ,0.490779694278848,0.363114437229567
MA0913.2,FB,0.745388666123152,0.943681943723172,18629294,0.726820983800993,4.84999723589785e-289,2.27553329432692e-288,100,100,HOXD9,0.499418716252068,0.362988002674957
MA0661.1,EC,0.385630652686244,0.434800341790102,8869772,0.613374041578424,2.28782036653659e-42,1.10110580221697e-41,100,100,MEOX1,0.591629856939102,0.362890396469202
MA0614.1,Endocardial,0.912539545445925,0.915337797228079,7091476,0.705000505029216,4.95181653951882e-94,3.00329686055369e-93,100,100,Foxj2,0.51446202856318,0.362695989955397
MA1558.1,Mesothelial,0.968756379262523,1.30786321473703,8936148,0.713779486048941,1.39406911740482e-126,3.99990600609229e-126,100,100,SNAI1,0.507865502401058,0.362503977285815
MA0772.1,Adipo,1.93400820951881,1.65894354589398,1012885,0.705516259015857,6.6347254387495e-15,7.27868408427519e-14,100,100,IRF7,0.513796045734903,0.362491464084029
MA0657.1,Lymphoid,0.657819637720111,0.583852785381506,1577705,0.662798777331908,1.90947382989493e-15,6.35922980848937e-15,100,100,KLF13,0.5469030418826,0.362486667478889
MA1629.1,FB,0.618839060458334,0.819812707838866,18577892.5,0.724815556821374,5.44612882564928e-284,2.47732445361852e-283,100,100,Zic2,0.500032811573395,0.362431560749527
MA1607.1,FB,0.845759199397303,1.01780986472845,18575166,0.724709182558757,1.00629135440777e-283,4.54965666901937e-283,100,100,Foxl2,0.499836956521739,0.362236432173526
MA0161.2,FB,0.34495855590052,0.72339931968815,16001316,0.62429055213958,3.37418030116107e-88,6.32446860468884e-88,100,100,NFIC,0.580026237554231,0.362104900098174
MA1561.1,Endocardial,0.704263898364018,0.744160668937,6893699,0.685338465013405,3.31349314290943e-77,1.57443686917862e-76,100,100,SOX12,0.528229393416169,0.362015921658799
MA1502.1,Mesothelial,0.858583727058001,0.918564798828839,9057093,0.723440031055603,4.2663980448702e-138,1.34292529176083e-137,100,100,HOXB8,0.500340189848141,0.361966122482105
MA0676.1,Adipo,1.09526021521966,1.05118344191626,1039602,0.724125753570645,1.94967004048841e-17,3.23211966712078e-16,100,100,Nr2e1,0.499747155499368,0.361879785570766
MA1421.1,Endocardial,0.344681923466411,0.383338244582033,6070853.5,0.603535115039293,2.76676135029629e-25,6.25455747673039e-25,100,100,TCF7L1,0.599142454426084,0.361603510156971
MA1479.1,Adipo,0.947083511102496,0.973289167741977,1038819,0.72358036171391,2.32914187948574e-17,3.69689328105608e-16,100,100,DMRTC2,0.499662873999157,0.361546243103322
